freq	prev	p.freq	p.prev	p	contaminant
2	0.0979736554759388	19	NA	0.995579133510168	0.995579133510168	FALSE
57723	0.000118200599492423	14	NA	0.971264367816092	0.971264367816092	FALSE
1660251	0.000224876841290824	16	NA	0.984948002189381	0.984948002189381	FALSE
204432	4.23844505171999e-05	10	NA	0.918403435644815	0.918403435644815	FALSE
204433	0	0	NA	NA	NA	FALSE
204434	0.000231721166324219	16	NA	0.984948002189381	0.984948002189381	FALSE
33973	1.84334522327869e-07	1	NA	NA	NA	FALSE
33075	5.39875959808053e-07	3	NA	0.68527640941434	0.68527640941434	FALSE
658061	0	0	NA	NA	NA	FALSE
658062	0	0	NA	NA	NA	FALSE
940557	3.77397970809225e-05	11	NA	0.935581659719591	0.935581659719591	FALSE
940614	0	0	NA	NA	NA	FALSE
940615	0	0	NA	NA	NA	FALSE
392733	2.73042088356999e-05	8	NA	0.874005305039788	0.874005305039788	FALSE
1592106	0.000175043246461177	12	NA	0.949896846448571	0.949896846448571	FALSE
392734	4.10538518188402e-05	10	NA	0.918403435644815	0.918403435644815	FALSE
870903	2.31369123997408e-06	2	NA	0.630541871921182	0.630541871921182	FALSE
332160	0	0	NA	NA	NA	FALSE
332161	0	0	NA	NA	NA	FALSE
332162	1.22539488902131e-06	4	NA	0.733695423350596	0.733695423350596	FALSE
332163	0	0	NA	NA	NA	FALSE
1562566	0	0	NA	NA	NA	FALSE
458032	0	0	NA	NA	NA	FALSE
458033	3.17322370055375e-06	6	NA	0.813586796345417	0.813586796345417	FALSE
1978231	0.000565183715099446	16	NA	0.984948002189381	0.984948002189381	FALSE
200783	0	0	NA	NA	NA	FALSE
187857	3.43303514898847e-06	2	NA	0.630541871921182	0.630541871921182	FALSE
32069	2.35948188579672e-06	1	NA	NA	NA	FALSE
64898	0	0	NA	NA	NA	FALSE
939	0	0	NA	NA	NA	FALSE
35835	3.07881773399017e-06	1	NA	NA	NA	FALSE
75905	0	0	NA	NA	NA	FALSE
136094	0	0	NA	NA	NA	FALSE
412592	0	0	NA	NA	NA	FALSE
412593	0	0	NA	NA	NA	FALSE
224027	1.08512426576478e-05	2	NA	0.630541871921182	0.630541871921182	FALSE
212790	0	0	NA	NA	NA	FALSE
309806	0	0	NA	NA	NA	FALSE
436114	2.73114532508936e-05	3	NA	0.68527640941434	0.68527640941434	FALSE
1485951	0	0	NA	NA	NA	FALSE
558314	0	0	NA	NA	NA	FALSE
