Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
25330	Seda24WidgLib_10	1	2	PE	Canis_familiaris	double	none	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_10.pair1.fastq.gz	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_10.pair2.fastq.gz	NA
25329	Seda24WidgLib_11	1	2	PE	Canis_familiaris	double	none	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_11.pair1.fastq.gz	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_11.pair2.fastq.gz	NA
25329	Seda24WidgLib_12	1	2	PE	Canis_familiaris	double	none	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_12.pair1.fastq.gz	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_12.pair2.fastq.gz	NA
25328	Seda24WidgLib_13	1	2	PE	Canis_familiaris	double	none	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_13.pair1.fastq.gz	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_13.pair2.fastq.gz	NA
25336	Seda24WidgLib_14	1	2	PE	Canis_familiaris	double	none	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_14.pair1.fastq.gz	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_14.pair2.fastq.gz	NA
25323	Seda24WidgLib_15	1	2	PE	Canis_familiaris	double	none	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_15.pair1.fastq.gz	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_15.pair2.fastq.gz	NA
25323	Seda24WidgLib_16	1	2	PE	Canis_familiaris	double	none	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_16.pair1.fastq.gz	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_16.pair2.fastq.gz	NA
25332	Seda24WidgLib_17	1	2	PE	Canis_familiaris	double	none	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_17.pair1.fastq.gz	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_17.pair2.fastq.gz	NA
25332	Seda24WidgLib_18	1	2	PE	Canis_familiaris	double	none	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_18.pair1.fastq.gz	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_18.pair2.fastq.gz	NA
EBC	Seda24WidgLib_19	1	2	PE	Canis_familiaris	double	none	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_19.pair1.fastq.gz	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_19.pair2.fastq.gz	NA
EBC	Seda24WidgLib_1	1	2	PE	Canis_familiaris	double	none	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_1.pair1.fastq.gz	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_1.pair2.fastq.gz	NA
25341	Seda24WidgLib_20	1	2	PE	Canis_familiaris	double	none	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_20.pair1.fastq.gz	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_20.pair2.fastq.gz	NA
25343	Seda24WidgLib_21	1	2	PE	Canis_familiaris	double	none	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_21.pair1.fastq.gz	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_21.pair2.fastq.gz	NA
25340	Seda24WidgLib_22	1	2	PE	Canis_familiaris	double	none	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_22.pair1.fastq.gz	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_22.pair2.fastq.gz	NA
EBC	Seda24WidgLib_23	1	2	PE	Canis_familiaris	double	none	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_23.pair1.fastq.gz	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_23.pair2.fastq.gz	NA
25342	Seda24WidgLib_24	1	2	PE	Canis_familiaris	double	none	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_24.pair1.fastq.gz	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_24.pair2.fastq.gz	NA
25324	Seda24WidgLib_2	1	2	PE	Canis_familiaris	double	none	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_2.pair1.fastq.gz	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_2.pair2.fastq.gz	NA
25325	Seda24WidgLib_3	1	2	PE	Canis_familiaris	double	none	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_3.pair1.fastq.gz	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_3.pair2.fastq.gz	NA
25325	Seda24WidgLib_4	1	2	PE	Canis_familiaris	double	none	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_4.pair1.fastq.gz	/gpfs/users/a1867445/Demu/Widg_demux_13Feb2025/Shotgun2025_.Seda24WidgLib_4.pair2.fastq.gz	NA
